id,chapter,Question,Answer
56,"Chapter 1","What causes center of gravity movement?","The center of gravity is the point through which weight acts. Therefore, movement of the center of gravity is due to a change in weight. Reasons: 1. Fuel burn. 2. Passenger movement. 3. High speeds."
57,"Chapter 1","How does minimum control speed in the air (VMCG/A) vary with center of gravity position?","(See Chapter 7, 'Performance and Flight Planning'.)"
58,"Chapter 1","Describe the effects of an aircraft's momentum.","Momentum of a body is the product of the mass of the body and its velocity, which enables the body (aircraft) to remain on its previous direction and magnitude for a quantity of time after an opposing force has been applied."
59,"Chapter 1","How does weight affect an aircraft's flight profile descent point?","The heavier the aircraft, the earlier is its required descent point. The heavier the aircraft, the greater is its momentum... Therefore, for a constant indicated air speed (IAS) or Mach number, the heavier aircraft will have to maintain a shallower rate of descent to check its momentum."
60,"Chapter 1","What is positive g force?","Positive g force is the influence of the force of gravity on the normal terrestrial environment beneath it. This is perceived as the normal weight of any body, including ourselves, in the terrestrial environment, i.e., 1g."
61,"Chapter 1","What is negative g force?","Negative g force is the opposite to positive g force (i.e., the influence of the normal terrestrial environment above the force of gravity, 1g)."
62,"Chapter 1","Describe how you would design a high-speed aircraft wing.","Thin, minimal-chamber, swept wings."
63,"Chapter 1","How does a swept wing aid the increase in its critical Mach number (Mcrit) speed?","The swept-wing design increases its Mcrit speed because it is sensitive to the (airflow) airspeed vector normal to the leading edge for a given aircraft Mach number. A swept wing makes the velocity vector normal (perpendicular) to the leading edge a shorter distance than the chordwise resultant."
64,"Chapter 1","Describe how you would optimize the lift design on a swept wing.","To optimize the lift design on a swept wing, you would need to (1) examine and develop the lift design areas of the clean wing and (2) add high lift devices to the clean wing to a degree that satisfies our main lift concern, that of adequate airfield performance."
65,"Chapter 1","What advantages does a jet aircraft gain from a swept wing?","The advantages a jet aircraft gains from the swept wing are (1) high Mach cruise speeds and (2) stability in turbulence."
66,"Chapter 1","What disadvantages does a jet aircraft suffer from a swept wing?","1. Poor lift qualities. 2. Higher stall speeds. 3. Speed instability. 4. A wing-tip stalling tendency."
67,"Chapter 1","Where does a swept wing stall first, and what effect does this have on the aircraft's attitude?","A simple swept and/or tapered wing will stall at the wing tip first if not induced/controlled to stall at another wing section first by the designer. A stall at the wing tip causes a loss of lift outboard and therefore aft, which moves the center of pressure inboard and therefore forward; this produces a pitch-up tendency."
68,"Chapter 1","Explain speed stability.","Speed stability is the behavior of the speed after a disturbance at a fixed power setting. Speed is said to be stable if after it has been disturbed from its trimmed state it returns naturally to its original speed."
69,"Chapter 1","What is Mach number?","Mach number (MN) is a true airspeed indication, given as a percentage relative to the local speed of sound; e.g., half the speed of sound = 0.5 Mach."
70,"Chapter 1","What is the critical Mach number (Mcrit)?","Mcrit is the aircraft's Mach speed at which the airflow over a wing becomes sonic-critical Mach number."
71,"Chapter 1","Describe the characteristics of critical Mach number (Mcrit)?","1. Initial Mach buffet. 2. An increase in drag. 3. A nose-down change in attitude (Mach tuck). 4. A possible loss of control."
72,"Chapter 1","Describe the changes in the center of pressure as an aircraft speed increases past the critical Mach number (Mcrit).","The center of pressure moves rearward on a swept wing as the aircraft passes its Mcrit for two reasons: 1. The shock waves on the wing's upper surface occur toward the leading edge... 2. The swept wing tends to experience the shock-wave effect at the thick root part of the wing first, causing a loss of lift inboard..."
73,"Chapter 1","What is Mach tuck?","Mach tuck is the nose-down pitching moment an aircraft experiences as it passes its critical Mach number (Mcrit)."
74,"Chapter 1","What is the purpose of a Mach trimmer?","The purpose of a Mach trimmer is to automatically compensate for Mach tuck (longitudinal instability) above Mcrit."
75,"Chapter 1","What is a Mach trimmer, and what is it used for?","A Mach trimmer is a system that artificially corrects for Mach tuck above the aircraft's Mcrit by sensing the aircraft's speed and signaling a proportional upward movement of the elevator or variable-incidence stabilizer to maintain the aircraft's pitch attitude."
76,"Chapter 1","What are the effects of compressibility?","Compressibility is the effect of air being compressed onto a surface (at a right angle to the relative airflow), resulting in an increase in density, and thus dynamic pressure rises above its expected value. Effects: 1. Compressibility error on dynamic pressure reading flight instruments. 2. Compressed air is experienced on the leading edge of the wing."
77,"Chapter 1","What is the main influence on Mach number?","(See Chapter 5, 'Atmosphere and Speed.')"
78,"Chapter 1","Explain speed margins.","A speed margin is the difference between the aircraft's normal maximum permitted operating speed and its higher certified testing speed."
79,"Chapter 1","Explain maneuverability margins/envelope.","Maneuverability margin/envelope is contained by its upper and lower speed limits."
80,"Chapter 1","What is coffin corner?","Coffin corner occurs at an aircraft's absolute ceiling, where the speeds at which Mach number buffet and prestall buffet occur are coincident, and although trained for, in practice, they are difficult to distinguish between."
81,"Chapter 1","Explain why an aircraft stalls.","An aircraft stalls when the streamlined/laminar airflow (or boundary layer) over the wing's upper surface... breaks away from the surface when the critical angle of attack is exceeded, irrespective of airspeed, and becomes turbulent, causing a loss in lift."
82,"Chapter 1","What properties affect an aircraft's stall speed?","1. Weight. 2. Altitude. 3. Wing design/lift. 4. Configuration. 5. Propeller engine power."
83,"Chapter 1","How does the stall speed vary with weight?","The heavier the aircraft, the higher is the indicated speed at which the aircraft will stall. The stall speed is proportional to the square root of the aircraft's weight."
84,"Chapter 1","What wing design areas delay the breakup of airflow (stall)?","1. Wing slots are the main design feature that delays/suppresses stall speed. 2. Lower angle of incidence and a greater chamber for a particular wing section, e.g., wing tips."
85,"Chapter 1","What changes the aircraft's angle of attack at the stall?","The movement of the center of pressure point at the stall causes a change in the aircraft's angle of attack."
86,"Chapter 1","What happens to the stall speeds at very high altitudes, and why?","The stall speed increases at very high altitudes... because of 1. Mach number compressibility effect on the wing. 2. Compressibility error on the IAS/ASI(R)."
87,"Chapter 1","How does stall speed vary with center of gravity position?","(See Q: How does a forward center of gravity affect the stall speed, and why?)"
88,"Chapter 1","What is a superstall?","A superstall also may be referred to as a deep stall or a Locked in stall condition, which, as the name suggests, is a stall from which the aircraft is unable to recover."
89,"Chapter 1","What systems protect against a stall?","Stall warner's and stick pushers."
90,"Chapter 1","What is Dutch roll?","Dutch roll is an oscillatory instability associated with swept-wing jet aircraft. It is the combination of yawing and rolling motions."
91,"Chapter 1","What causes Dutch roll?","Swept wings. Dutch roll occurs when a yaw is induced... This causes the outer wing to travel faster... At the same time, the inner wing will travel slower..."
92,"Chapter 1","What is the recovery technique from Dutch roll?","For a pilot to recover an aircraft suffering from Dutch roll, he or she would apply opposite aileron to the direction of the roll, assuming that the yaw dampers are not serviceable."
93,"Chapter 1","What prevents Dutch roil?","Yaw dampers prevent Dutch roll on swept-wing aircraft."
94,"Chapter 1","What is directional stability?","Directional stability is the tendency for an aircraft to regain its direction (heading) after the aircraft has been directionally disturbed (e.g., an induced yaw) from its straight path."
95,"Chapter 1","What is spiral stability and instability?","Spiral stability (or a spirally stable aircraft) is defined as the tendency of an aircraft in a properly coordinated banked turn to return to a laterally level flight attitude on release of the ailerons. Spiral instability... will see a banked turn increase fairly quickly, followed by the nose falling into the turn..."
96,"Chapter 1","What is lateral stability?","Lateral stability is the tendency for an aircraft to return to a laterally level position around the longitudinal axis on release of the ailerons in a sideslip."
97,"Chapter 1","What is longitudinal stability?","Longitudinal stability is an aircraft's natural ability to return to a stable pitch position around its lateral axis after a disturbance."
98,"Chapter 1","Describe stability at high altitudes.","Longitudinal, lateral, directional, and oscillatory stability in general are reduced at high altitudes, in terms of dynamic stability, mainly because aerodynamic damping decreases with altitude."
99,"Chapter 1","What are the four flying-quality penalties experienced at very high altitudes?","1. Restricted operating speed range. 2. Reduced maneuverability. 3. Reduced aerodynamic damping. 4. Reduced stability."
100,"Chapter 1","What are the primary/main flight controls?","Elevator (Pitch). Ailerons (Roll). Rudder (Yaw)."
101,"Chapter 1","What is the elevator, and how does it work?","The conventional elevator is a hinged control surface at the rear of the horizontal tailplane (stabilizer) that is controlled by the pilot's control column. Moving the control column back deflects the elevator up... producing a downward aerodynamic force that pitches the aircraft up."
102,"Chapter 1","What are ailerons, and how do they work?","Ailerons are control surfaces located at the trailing edges of the wings that control the aircraft's motion around its longitudinal axis, known as roll."
103,"Chapter 1","What is the rudder and how does it work?","The rudder is a hinged control surface at the rear of the fin (vertical tailplane) that is controlled by the pilot's rudder pedals."
104,"Chapter 1","How does the effectiveness of the control surfaces vary with speed?","The control surfaces become more effective at higher speeds. This results in a requirement for large control movements at low speeds and smaller control movements at high speeds to produce the same control force."
105,"Chapter 1","What is elevator reversal?","Elevator reversal occurs at high speeds when the air loads/forces are large enough to cause a twisting moment on the deflected elevator surface to either a neutral or opposite position that results in sudden reversal of the aircraft's pitch attitude."
106,"Chapter 1","What is adverse yaw?","Adverse yaw is a yawing motion opposite to the turning/rolling motion of the aircraft. Adverse yaw is caused by the drag on the down-going aileron being greater than that on the up-going aileron."
107,"Chapter 1","What is aileron reversal (adverse), and when is it likely to occur?","Aileron reversal occurs at high speeds when the air loads/forces are large enough that they cause an increase in lift... a nose-down twisting moment will be caused. This will result in a decrease in the incidence of the wing... hence an adverse rolling motion."
108,"Chapter 1","What is a yaw-induced adverse rolling motion, and when is it likely to occur?","The rudder inducing the aircraft to yaw one way can cause another form of adverse rolling motion in the opposite direction. This happens at high speeds..."
109,"Chapter 1","What are spoilers, and how do they work?","Spoilers consist of opening panels that extend from the upper surface of the wing and have the effect of spoiling/disturbing the airflow over the wing (drag), thereby reducing the lift."
110,"Chapter 1","What are the three purposes of spoilers?","1. Roll control (usually in combination with the ailerons). 2. Air speed brakes. 3. Ground lift dumpers."
111,"Chapter 1","Describe differential and nondifferential spoilers.","Nondifferential spoilers: When already partly extended as a speed brake, the spoilers will extend further on one side but will not retract on the other side... Differential spoilers: When already partly extended as a speed brake, the spoilers will extend further on one side and retract on the other side in response to a roll command."
112,"Chapter 1","Give six reasons for spoilers.","1. Ailerons are limited in size. 2. Aileron reversal prevention. 3. Ailerons lose effectiveness at high speeds. 4. Adverse rolling moment with yaw. 5. Air speed brakes. 6. Ground lift dumpers."
113,"Chapter 1","What limits the use of spoilers, and why do spoilers blow back?","Spoilers are limited by very high speeds (VDF/MDF), which cause them to blow back. This occurs because the high air loads experienced on the spoilers' surfaces at high speeds are greater than their design limit."
114,"Chapter 1","How is spoiler blowback prevented?","Spoilers are designed not to blow back in the normal operating speed range of the aircraft."
115,"Chapter 1","How do you correct for spoiler biowback?","In flight, reduce speed by reducing thrust to a speed where the spoilers will operate normally, and then recycle the speed brake lever."
116,"Chapter 1","What do leading-edge slats do?","Leading-edge slats increase the wing's chamber area and mean aerodynamic chord (MAC), thereby increasing its coefficient of lift (CL) maximum, which reduces the aircraft's stall speed."
117,"Chapter 1","What are Krueger flaps?","Krueger flaps are leading-edge wing flaps used to increase the wing chamber and therefore increase the coefficient of lift maximum."
118,"Chapter 1","What are Fowler flaps?","Fowler flaps are trailing-edge wing flaps (usually triple slotted) used to increase the wing area and chamber, which increases the coefficient of lift maximum for low flap settings."
119,"Chapter 1","What is the primary use of flaps on a jet aircraft?","The primary use of flaps, especially on a jet aircraft, is to increase lift by extending the geometric chord line of the wing, which increase its chamber and area."
120,"Chapter 1","What are the effects of extending flaps in flight?","Lowering the flaps in flight generally will cause a change in the pitching moment. Normally, the increased lift created by extending the wing chord line when the flaps are extended is dominant and will cause a nose-up pitching tendency."
121,"Chapter 1","What are the effects of raising flaps in flight?","The raising of flaps in flight, if not compensated for by increasing speed and changing attitude, will result in a loss of lift."
122,"Chapter 1","How do flaps affect takeoff ground run?","Flaps set within the takeoff range: A higher flap setting... will reduce the takeoff ground run for a given aircraft weight. Flaps set outside the takeoff range: A high flap setting... will result in a large drag penalty that will reduce the aircraft's acceleration, and therefore, the takeoff run will be greatly increased."
123,"Chapter 1","What are the purposes of yaw and roll dampers, and how do they work?","The purpose of a yaw damper is to: (1) prevent Dutch roll and (2) coordinate turns. The purpose of a roll dampers is to: (1) damp/remove Dutch roll, (2) provide roll damping in turbulence, and (3) provide spiral stability."
124,"Chapter 1","Describe parallel yaw dampers.","Parallel yaw dampers (early type) apply rudder control through the same control run as the pilot, and their activity is reflected in the rudder bar activity (moves the rudder pedals)."
125,"Chapter 1","Describe series yaw dampers.","The series yaw damper... is attached to the rudder control circuit at the back of the aircraft, and as such, it does not move the pilot's rudder pedals when it moves the rudder."
126,"Chapter 1","What is a stabilizer/variable-incidence tailplane?","A stabilizer/variable-incidence tailplane is an all-moving horizontal tailplane control surface (i.e., not fixed in one position)."
127,"Chapter 1","What is the purpose of a stabilizer?","The purpose of the horizontal stabilizer is to provide a longitudinal balancing force to the aircraft."
128,"Chapter 1","What are the four reasons for a variable-incidence tailplane/stabilizer, especially on a jet aircraft?","1. To provide a balancing force for a large center of gravity range. 2. To provide a balancing force for a large speed range. 3. To cope (longitudinally) with large trim changes... 4. To reduce elevator trim drag to a minimum."
129,"Chapter 1","Describe the effects of a stuck stabilizer.","The condition an aircraft experiences from a stuck stabilizer... is a degraded longitudinal balancing ability... This condition has the following effects: 1. Heavy stick forces... 2. Slower response... 3. Pitch-control capability is reduced."
130,"Chapter 1","What is the best center of gravity position with a stuck stabilizer, and why?.","With a stuck stabilizer, the best center of gravity position is aft."
131,"Chapter 1","What is the required action with a stuck stabilizer?","1. Divert to a nearby airfield. 2. Move the center of gravity to an aft position. 3. Reduce speed as late as possible. 4. Plan a long final approach... 5. Use a reduced flap setting for landing."
132,"Chapter 1","Describe a runaway stabilizer condition and required action.","If brakes fail, the stabilizer will experience backpressure... which will rotate the stabilizer to its maximum upward or downward mechanical stops. Action: 1. Hold the control column firmly. 2. Autopilot disengage. 3. Stab trim cutout switches to cut out. 4. Stabilizer trim wheel, grasp and hold."
133,"Chapter 1","Describe the effects of a jammed/degraded elevator.","A degraded or jammed elevator will result in less effective elevator maneuverability in pitch control."
134,"Chapter 1","What is the best center of gravity position with a jammed/degraded elevator?","The best position for the center of gravity with a degraded/jammed elevator is aft."
135,"Chapter 1","What is the required action for a jammed/degraded elevator?","If there is no elevator control (jammed), then the stabilizer trim can be used for pitch control. 1. If possible, move the center of gravity rearward. 2. Plan a long final approach... 3. Restrict the flap angle for landing."
136,"Chapter 1","Describe the effects of a failure/reduction in elevator feels.","Whenever the feel on an elevator control is significantly reduced, great care must be exercised in its use. The control must be moved slowly and smoothly over minimum angles to avoid overstressing the control surface structure."
137,"Chapter 1","What is the best center of gravity position with a reduced or failed elevator feel system?","The best position for the center of gravity with a reduced or failed elevator feel system is forward."
138,"Chapter 1","Describe the effects of the air loads on a control surface and how these effects are managed?","If a control surface is deflected, the dynamic pressure/aerodynamic loads on it will increase and act as a lift force through its center of pressure point. When multiplied by the control surface arm, it gives the size of the moment trying to rotate the control surface back to its neutral position."
139,"Chapter 1","What is a tab surface, and what can it be used for?","A tab is a small hinged surface found on a primary flight control surface. A tab can be used to provide 1. Trimming. 2. Control balance. 3. Servo operation."
140,"Chapter 1","What is a balance tab?","A balance tab is a form of aerodynamic control balance on a control surface. A control balance tab balances the main aerodynamic lift force load on a control surface with an opposing force, which thereby reduces the overall hinge moment."
141,"Chapter 1","What is a hinge/horn balance?","A setback hinge... sets the hinge line back into the control surface, thus reducing the center of pressure to hinge line arm... A horn balance is a protruding control surface that produces a balancing lift force in the opposite direction of the main lift force."
142,"Chapter 1","What is a mass balance and what is it used for?","A mass balance is another form of aerodynamic balance control on a control surface. The hinge moment... is balanced by a mass weight that keeps it in its deflected position."
143,"Chapter 1","Why are control surfaces hydraulically operated on large aircraft?","On large, fast aircraft... it is found that the control forces required to move a control surface are simply beyond the strength of the pilot and are also too great to be controlled by pure aerodynamic designs."
144,"Chapter 1","Why does a powered controlled surface need an artificial feel system?","An artificial feel system is required because power-operated flying controls are irreversible, i.e., they do not feed back to the pilot any sensory information... Therefore, there is a need to give this information to the pilot... keeping the pilot in the sensory loop."
145,"Chapter 1","How does an artificial feel system work?","The simplest form of artificial feel consists of a spring box fitted into the control run. This provides a feel and self-centering action."
146,"Chapter 1","What is Q feel, and where is it used?","Q feel is a sophisticated computer-based artificial feel system based on 1/2 R V^2 that is felt by the pilot through the control column and rudder pedals and is used commonly on aircraft with powered flight controls."
147,"Chapter 1","What are the inputs to Q feel?","1. Static and dynamic pressure. 2. Control surface angle of deflection."
148,"Chapter 1","What are active controls?","An active control is a surface that moves automatically/actively in response to nondirect inputs. For example, balance tabs actively/automatically move in response to their associated control surfaces being moved."
149,"Chapter 2","What is thermodynamics?","Thermodynamics is the study of heat/pressure energy or the behavior of gases (including air) and vapors under variations of temperature and pressure."
150,"Chapter 2","Explain Bernoulli's theorem.","Bernoulli's theorem is that the total energy in a moving fluid or gas is made up of three forms of energy: 1. Potential energy 2. Pressure/temperature energy 3. Kinetic energy. It can be said that the kinetic energy plus the pressure/temperature energy of a smooth flow of air is always constant."
151,"Chapter 2","Explain a venturi.","A venturi is a practical application of Bernoulli's theorem, sometimes called a convergent/divergent duct. It has an inlet that narrows to a throat, forming a converging duct... and an outlet section with an increasing diameter, forming a diverging duct."
152,"Chapter 2","What is the combustion cycle of an aeropiston engine?","Induction, compression, combustion (expansion), and exhaust. The combustion of a piston engine occurs at a constant volume."
153,"Chapter 2","What is compression ratio in a piston engine?","Compression ratio in a piston engine is the ratio of the total volume enclosed in a cylinder with the piston at bottom dead center (BDC) to the volume remaining at the end of the compression stroke with the piston at top dead center (TDC)."
154,"Chapter 2","What produces the ignition in a piston engine?","Magnetos are used on internal combustion engines to supply the high-tension voltage necessary to cause an electric spark at the spark plug."
155,"Chapter 2","What does blue, black, and white exhaust smoke indicate?","Blue exhaust smoke indicates an oil burn in the cylinders. Black exhaust smoke indicates carbon granules burning in the cylinders (mixture too rich). White exhaust smoke indicates a high water content in the combustion chamber."
156,"Chapter 2","What is engine torque?","Torque is a force causing rotation. In particular, torque is the force created within an engine, which causes rotation of the rotating parts, e.g., the crankshaft."
157,"Chapter 2","What is a normally aspirated piston engine?","A normally aspirated engine works as a result of 'the breathing of the cylinder is due to the pressure differential below the standard sea level 14.7 lb/in^2.' It only uses the atmospheric air density available and is not boosted by a supercharger."
158,"Chapter 2","What are the disadvantages of a piston engine?","A piston engine suffers from three main disadvantages: 1. A lack of power output, especially with increased altitudes. 2. A low produced airspeed due to propeller rpm limitations. 3. Mechanical inefficiency."
159,"Chapter 2","What is a supercharged (piston) engine?","A supercharger simply increases the air delivered to the engine cylinder above its normally aspirated capacity by compressing the intake air, which in turn requires more fuel... which in turn produces a greater power output."
160,"Chapter 2","How is the (piston) engine power output increased to compensate for low atmospheric pressure?","Superchargers are used to artificially raise the engine manifold pressure to compensate for low atmospheric pressure either (1) to increase engine power output for takeoff... or (2) to maintain mean sea level (MSL) engine power at high altitudes."
